activo,modelo,accuracy,precision_macro,recall_macro,f1_macro
AAPL,Persistencia,0.5013,0.5041,0.505,0.5038
AAPL,Regresion Logistica,0.345,0.2315,0.3577,0.2287
AAPL,Arbol de Decision,0.3895,0.5115,0.4095,0.3258
AAPL,Random Forest,0.345,0.4866,0.35,0.2191
AAPL,XGBoost,0.3679,0.3966,0.3692,0.2857
AAPL,SVM,0.4434,0.4506,0.4162,0.4085
AMZN,Persistencia,0.558,0.3639,0.363,0.3634
AMZN,Regresion Logistica,0.5162,0.3686,0.3844,0.3553
AMZN,Arbol de Decision,0.4164,0.3297,0.3624,0.3209
AMZN,Random Forest,0.6038,0.3664,0.3599,0.3548
AMZN,XGBoost,0.5687,0.3524,0.3497,0.3491
AMZN,SVM,0.5512,0.3675,0.391,0.3659
GOOGL,Persistencia,0.6213,0.3654,0.3701,0.3671
GOOGL,Regresion Logistica,0.655,0.3863,0.4622,0.4032
GOOGL,Arbol de Decision,0.5728,0.4222,0.4556,0.4138
GOOGL,Random Forest,0.469,0.4212,0.4335,0.3606
GOOGL,XGBoost,0.504,0.4374,0.459,0.3878
GOOGL,SVM,0.3935,0.3704,0.3571,0.2947
TSLA,Persistencia,0.5957,0.4227,0.422,0.4223
TSLA,Regresion Logistica,0.6038,0.2452,0.337,0.2806
TSLA,Arbol de Decision,0.5337,0.3734,0.3741,0.3736
TSLA,Random Forest,0.6065,0.5396,0.3547,0.3091
TSLA,XGBoost,0.5836,0.394,0.3865,0.3871
TSLA,SVM,0.5809,0.2428,0.3404,0.2833
